replica,tamanho,algoritmo,localidad,tiempo
0,1,8_1,si,12
0,1,8_2,si,24
0,1,16_2,si,64
0,1,8_1,no,16
0,1,8_2,no,28
0,1,16_2,no,44
0,2,8_1,si,4
0,2,8_2,si,16
0,2,16_2,si,36
0,2,8_1,no,8
0,2,8_2,no,20
0,2,16_2,no,44
0,3,8_1,si,4
0,3,8_2,si,8
0,3,16_2,si,12
0,3,8_1,no,8
0,3,8_2,no,8
0,3,16_2,no,12
0,4,8_1,si,8
0,4,8_2,si,12
0,4,16_2,si,16
0,4,8_1,no,12
0,4,8_2,no,16
0,4,16_2,no,24
1,1,8_1,si,0
1,1,8_2,si,0
1,1,16_2,si,4
1,1,8_1,no,0
1,1,8_2,no,0
1,1,16_2,no,0
1,2,8_1,si,4
1,2,8_2,si,0
1,2,16_2,si,4
1,2,8_1,no,4
1,2,8_2,no,4
1,2,16_2,no,8
1,3,8_1,si,4
1,3,8_2,si,8
1,3,16_2,si,12
1,3,8_1,no,8
1,3,8_2,no,8
1,3,16_2,no,20
1,4,8_1,si,8
1,4,8_2,si,12
1,4,16_2,si,17
1,4,8_1,no,11
1,4,8_2,no,12
1,4,16_2,no,25
2,1,8_1,si,0
2,1,8_2,si,0
2,1,16_2,si,4
2,1,8_1,no,0
2,1,8_2,no,0
2,1,16_2,no,4
2,2,8_1,si,0
2,2,8_2,si,4
2,2,16_2,si,4
2,2,8_1,no,4
2,2,8_2,no,0
2,2,16_2,no,8
2,3,8_1,si,4
2,3,8_2,si,8
2,3,16_2,si,8
2,3,8_1,no,8
2,3,8_2,no,4
2,3,16_2,no,12
2,4,8_1,si,8
2,4,8_2,si,12
2,4,16_2,si,16
2,4,8_1,no,12
2,4,8_2,no,12
2,4,16_2,no,20
3,1,8_1,si,4
3,1,8_2,si,0
3,1,16_2,si,0
3,1,8_1,no,0
3,1,8_2,no,0
3,1,16_2,no,4
3,2,8_1,si,4
3,2,8_2,si,0
3,2,16_2,si,8
3,2,8_1,no,0
3,2,8_2,no,4
3,2,16_2,no,4
3,3,8_1,si,4
3,3,8_2,si,8
3,3,16_2,si,8
3,3,8_1,no,8
3,3,8_2,no,8
3,3,16_2,no,12
3,4,8_1,si,8
3,4,8_2,si,12
3,4,16_2,si,20
3,4,8_1,no,16
3,4,8_2,no,12
3,4,16_2,no,44
4,1,8_1,si,0
4,1,8_2,si,4
4,1,16_2,si,0
4,1,8_1,no,0
4,1,8_2,no,0
4,1,16_2,no,0
4,2,8_1,si,4
4,2,8_2,si,0
4,2,16_2,si,4
4,2,8_1,no,4
4,2,8_2,no,4
4,2,16_2,no,4
4,3,8_1,si,4
4,3,8_2,si,8
4,3,16_2,si,12
4,3,8_1,no,4
4,3,8_2,no,4
4,3,16_2,no,12
4,4,8_1,si,8
4,4,8_2,si,12
4,4,16_2,si,16
4,4,8_1,no,8
4,4,8_2,no,12
4,4,16_2,no,20
5,1,8_1,si,0
5,1,8_2,si,4
5,1,16_2,si,0
5,1,8_1,no,0
5,1,8_2,no,0
5,1,16_2,no,0
5,2,8_1,si,0
5,2,8_2,si,4
5,2,16_2,si,4
5,2,8_1,no,4
5,2,8_2,no,0
5,2,16_2,no,8
5,3,8_1,si,4
5,3,8_2,si,4
5,3,16_2,si,8
5,3,8_1,no,8
5,3,8_2,no,4
5,3,16_2,no,16
5,4,8_1,si,8
5,4,8_2,si,8
5,4,16_2,si,16
5,4,8_1,no,12
5,4,8_2,no,12
5,4,16_2,no,20
6,1,8_1,si,0
6,1,8_2,si,0
6,1,16_2,si,4
6,1,8_1,no,0
6,1,8_2,no,0
6,1,16_2,no,0
6,2,8_1,si,4
6,2,8_2,si,0
6,2,16_2,si,4
6,2,8_1,no,4
6,2,8_2,no,4
6,2,16_2,no,4
6,3,8_1,si,4
6,3,8_2,si,4
6,3,16_2,si,8
6,3,8_1,no,8
6,3,8_2,no,4
6,3,16_2,no,12
6,4,8_1,si,8
6,4,8_2,si,8
6,4,16_2,si,16
6,4,8_1,no,12
6,4,8_2,no,12
6,4,16_2,no,20
7,1,8_1,si,0
7,1,8_2,si,0
7,1,16_2,si,0
7,1,8_1,no,0
7,1,8_2,no,4
7,1,16_2,no,0
7,2,8_1,si,0
7,2,8_2,si,4
7,2,16_2,si,4
7,2,8_1,no,0
7,2,8_2,no,4
7,2,16_2,no,4
7,3,8_1,si,4
7,3,8_2,si,4
7,3,16_2,si,12
7,3,8_1,no,4
7,3,8_2,no,4
7,3,16_2,no,20
7,4,8_1,si,4
7,4,8_2,si,12
7,4,16_2,si,16
7,4,8_1,no,12
7,4,8_2,no,12
7,4,16_2,no,20
8,1,8_1,si,0
8,1,8_2,si,0
8,1,16_2,si,4
8,1,8_1,no,0
8,1,8_2,no,0
8,1,16_2,no,0
8,2,8_1,si,0
8,2,8_2,si,4
8,2,16_2,si,4
8,2,8_1,no,0
8,2,8_2,no,4
8,2,16_2,no,4
8,3,8_1,si,4
8,3,8_2,si,8
8,3,16_2,si,8
8,3,8_1,no,4
8,3,8_2,no,12
8,3,16_2,no,12
8,4,8_1,si,7
8,4,8_2,si,12
8,4,16_2,si,16
8,4,8_1,no,12
8,4,8_2,no,12
8,4,16_2,no,24
9,1,8_1,si,4
9,1,8_2,si,0
9,1,16_2,si,0
9,1,8_1,no,0
9,1,8_2,no,0
9,1,16_2,no,4
9,2,8_1,si,4
9,2,8_2,si,0
9,2,16_2,si,4
9,2,8_1,no,4
9,2,8_2,no,0
9,2,16_2,no,8
9,3,8_1,si,4
9,3,8_2,si,4
9,3,16_2,si,8
9,3,8_1,no,8
9,3,8_2,no,4
9,3,16_2,no,12
9,4,8_1,si,12
9,4,8_2,si,8
9,4,16_2,si,20
9,4,8_1,no,8
9,4,8_2,no,12
9,4,16_2,no,24
10,1,8_1,si,0
10,1,8_2,si,4
10,1,16_2,si,0
10,1,8_1,no,0
10,1,8_2,no,0
10,1,16_2,no,0
10,2,8_1,si,4
10,2,8_2,si,0
10,2,16_2,si,8
10,2,8_1,no,0
10,2,8_2,no,4
10,2,16_2,no,4
10,3,8_1,si,4
10,3,8_2,si,4
10,3,16_2,si,8
10,3,8_1,no,8
10,3,8_2,no,4
10,3,16_2,no,12
10,4,8_1,si,8
10,4,8_2,si,11
10,4,16_2,si,16
10,4,8_1,no,12
10,4,8_2,no,12
10,4,16_2,no,20
11,1,8_1,si,0
11,1,8_2,si,0
11,1,16_2,si,0
11,1,8_1,no,0
11,1,8_2,no,4
11,1,16_2,no,0
11,2,8_1,si,4
11,2,8_2,si,0
11,2,16_2,si,8
11,2,8_1,no,0
11,2,8_2,no,4
11,2,16_2,no,4
11,3,8_1,si,4
11,3,8_2,si,4
11,3,16_2,si,12
11,3,8_1,no,4
11,3,8_2,no,8
11,3,16_2,no,12
11,4,8_1,si,8
11,4,8_2,si,8
11,4,16_2,si,20
11,4,8_1,no,8
11,4,8_2,no,12
11,4,16_2,no,20
12,1,8_1,si,0
12,1,8_2,si,3
12,1,16_2,si,0
12,1,8_1,no,0
12,1,8_2,no,0
12,1,16_2,no,0
12,2,8_1,si,0
12,2,8_2,si,4
12,2,16_2,si,8
12,2,8_1,no,4
12,2,8_2,no,4
12,2,16_2,no,8
12,3,8_1,si,8
12,3,8_2,si,8
12,3,16_2,si,8
12,3,8_1,no,8
12,3,8_2,no,4
12,3,16_2,no,12
12,4,8_1,si,4
12,4,8_2,si,12
12,4,16_2,si,16
12,4,8_1,no,8
12,4,8_2,no,12
12,4,16_2,no,20
