tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40557265281677246
1,8_2,si,0.45403075218200684
1,16_2,si,0.4579141139984131
1,8_1,no,0.40657615661621094
1,8_2,no,0.45482301712036133
1,16_2,no,0.46188807487487793
2,8_1,si,1.6622958183288574
2,8_2,si,1.8622326850891113
2,16_2,si,1.8768138885498047
2,8_1,no,1.6731138229370117
2,8_2,no,1.8654980659484863
2,16_2,no,1.8900954723358154
3,8_1,si,3.7639122009277344
3,8_2,si,4.217825174331665
3,16_2,si,4.312922954559326
3,8_1,no,3.804321765899658
3,8_2,no,4.28271484375
3,16_2,no,4.29237699508667
4,8_1,si,6.8085713386535645
4,8_2,si,7.606754541397095
4,16_2,si,7.670238733291626
4,8_1,no,6.7808520793914795
4,8_2,no,7.574634790420532
4,16_2,no,7.6528639793396
