replica,tamanho,algoritmo,localidad,tiempo
0,1,8_1,si,0.40868258476257324
0,1,8_2,si,0.4577453136444092
0,1,16_2,si,0.45865559577941895
0,1,8_1,no,0.41238880157470703
0,1,8_2,no,0.45937538146972656
0,1,16_2,no,0.47849369049072266
0,2,8_1,si,1.674698829650879
0,2,8_2,si,1.8899590969085693
0,2,16_2,si,1.8981235027313232
0,2,8_1,no,1.6843650341033936
0,2,8_2,no,1.911729335784912
0,2,16_2,no,1.9070866107940674
0,3,8_1,si,3.7937798500061035
0,3,8_2,si,4.24622368812561
0,3,16_2,si,4.286169052124023
0,3,8_1,no,3.8238000869750977
0,3,8_2,no,4.259132146835327
0,3,16_2,no,4.312083721160889
0,4,8_1,si,6.814031600952148
0,4,8_2,si,7.675306081771851
0,4,16_2,si,7.58307671546936
0,4,8_1,no,6.831710338592529
0,4,8_2,no,7.5965211391448975
0,4,16_2,no,7.681820869445801
1,1,8_1,si,0.40147924423217773
1,1,8_2,si,0.45012569427490234
1,1,16_2,si,0.45369720458984375
1,1,8_1,no,0.40413570404052734
1,1,8_2,no,0.451704740524292
1,1,16_2,no,0.46013307571411133
1,2,8_1,si,1.6520116329193115
1,2,8_2,si,1.853055715560913
1,2,16_2,si,1.8730344772338867
1,2,8_1,no,1.6682260036468506
1,2,8_2,no,1.8687410354614258
1,2,16_2,no,1.8940048217773438
1,3,8_1,si,3.84881591796875
1,3,8_2,si,4.324070930480957
1,3,16_2,si,4.33024263381958
1,3,8_1,no,3.8584389686584473
1,3,8_2,no,4.294103145599365
1,3,16_2,no,4.2955944538116455
1,4,8_1,si,7.008407831192017
1,4,8_2,si,7.712903738021851
1,4,16_2,si,7.5944976806640625
1,4,8_1,no,6.823649883270264
1,4,8_2,no,7.604184865951538
1,4,16_2,no,7.656343221664429
2,1,8_1,si,0.4037296772003174
2,1,8_2,si,0.4548468589782715
2,1,16_2,si,0.45639848709106445
2,1,8_1,no,0.4045381546020508
2,1,8_2,no,0.45344090461730957
2,1,16_2,no,0.45473241806030273
2,2,8_1,si,1.6725609302520752
2,2,8_2,si,1.8605952262878418
2,2,16_2,si,1.8862254619598389
2,2,8_1,no,1.678389310836792
2,2,8_2,no,1.8739399909973145
2,2,16_2,no,1.9155139923095703
2,3,8_1,si,3.9238831996917725
2,3,8_2,si,4.27583909034729
2,3,16_2,si,4.42160964012146
2,3,8_1,no,3.8937296867370605
2,3,8_2,no,4.271193027496338
2,3,16_2,no,4.346507787704468
2,4,8_1,si,6.82625150680542
2,4,8_2,si,7.607066631317139
2,4,16_2,si,7.651949167251587
2,4,8_1,no,6.911769866943359
2,4,8_2,no,7.616750717163086
2,4,16_2,no,7.722702980041504
3,1,8_1,si,0.404407262802124
3,1,8_2,si,0.45324182510375977
3,1,16_2,si,0.45679593086242676
3,1,8_1,no,0.4058222770690918
3,1,8_2,no,0.45561671257019043
3,1,16_2,no,0.45941734313964844
3,2,8_1,si,1.662383794784546
3,2,8_2,si,1.8625943660736084
3,2,16_2,si,1.875549554824829
3,2,8_1,no,1.6753695011138916
