tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4058356285095215
1,8_2,si,0.45164060592651367
1,16_2,si,0.4556427001953125
1,8_1,no,0.40503835678100586
1,8_2,no,0.4537241458892822
1,16_2,no,0.4613957405090332
2,8_1,si,1.6697790622711182
2,8_2,si,1.873854160308838
2,16_2,si,1.8589389324188232
2,8_1,no,1.657729148864746
2,8_2,no,1.847602128982544
2,16_2,no,1.8700029850006104
3,8_1,si,3.7916765213012695
3,8_2,si,4.248349905014038
3,16_2,si,4.308270454406738
3,8_1,no,3.8030591011047363
3,8_2,no,4.265927791595459
3,16_2,no,4.323188066482544
4,8_1,si,6.800485134124756
4,8_2,si,7.583777904510498
4,16_2,si,7.653097867965698
4,8_1,no,6.83234429359436
4,8_2,no,7.712907552719116
4,16_2,no,7.724505424499512
